"","id","sp_ives","sp","lat","long","sex","CS","LogCS","biome","fac","pch","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","Elev","NPP","Humid","Soil_P","Soil_Moist","Cluster"
"46","Sapajus_libidinosus -14.66720196 -39.4301321 F","Sapajus_libidinosus_3","Sapajus_libidinosus",-14.66720196,-39.4301321,"F",8.793527428,2.174015931,"Savanna","SV",25,23.41616631,25.00933266,21.52600098,1387,145,87,16.42799187,392,282,384,333,6.705667019,62.11250687,141.6093292,28.56800079,17.77199936,10.79600143,24.81399918,22.40200043,182,1.019445346,80.14167513,5.7296407,96.31276524,"Thermally Stable & Dry-Seasonal"
"47","Sapajus_libidinosus -16.35534286 -50.02114195 F","Sapajus_libidinosus_4","Sapajus_libidinosus",-16.35534286,-50.02114195,"F",9.280464687,2.22791162,"Savanna","SV",25,22.67866707,23.77933311,21.02599907,1712,292,10,77.95446777,831,40,473,62,10.89866638,67.34223175,111.7825012,29.96800041,13.7840004,16.18400002,23.02866745,21.33600044,835,0.695666656,69.89677586,5.119234378,87.32832242,"Thermally Stable & Dry-Seasonal"
"48","Sapajus_libidinosus -16.35534286 -50.02114195 M","Sapajus_libidinosus_5","Sapajus_libidinosus",-16.35534286,-50.02114195,"M",10.36826562,2.338286435,"Savanna","SV",25,22.67866707,23.77933311,21.02599907,1712,292,10,77.95446777,831,40,473,62,10.89866638,67.34223175,111.7825012,29.96800041,13.7840004,16.18400002,23.02866745,21.33600044,835,0.695666656,69.89677586,5.119234378,87.32832242,"Thermally Stable & Dry-Seasonal"
"49","Sapajus_libidinosus -16.66932492 -49.37660678 F","Sapajus_libidinosus_6","Sapajus_libidinosus",-16.66932492,-49.37660678,"F",7.990388069,2.078239328,"Savanna","SV",25,22.90316582,24.02400017,21.16333389,1660,293,10,78.67543793,818,38,454,62,10.94900036,68.55121613,116.0672455,30.07999992,14.1079998,15.97200012,23.30533218,21.49133301,806,0.720766914,67,5.078354177,89.45097669,"Thermally Stable & Dry-Seasonal"
"50","Sapajus_libidinosus -17.50131153 -44.56084806 F","Sapajus_libidinosus_7","Sapajus_libidinosus",-17.50131153,-44.56084806,"F",8.797682562,2.174488342,"Savanna","SV",25,22.58433342,24.0933342,19.95933342,988,205,3,93.05763245,574,14,429,14,12.98600006,68.91318512,184.006485,30.53199959,11.68799973,18.84399986,23.85533333,19.95933342,626,0.645971368,69.25702811,5.383572971,56.22900381,"Warm & Moderately Seasonal"
"51","Sapajus_libidinosus -18.1219654 -51.55654416 M","Sapajus_libidinosus_8","Sapajus_libidinosus",-18.1219654,-51.55654416,"M",9.309085798,2.229683339,"Savanna","SV",25,22.5478344,23.69533348,20.3453331,1602,290,17,73.94245148,775,61,638,86,12.06633377,69.74759674,146.2909393,29.7159996,12.41600037,17.29999924,23.52933311,20.64599991,661,0.531009099,71,5.04693225,96.09974726,"Thermally Stable & Dry-Seasonal"
"52","Sapajus_libidinosus -18.41683593 -49.19448856 F","Sapajus_libidinosus_9","Sapajus_libidinosus",-18.41683593,-49.19448856,"F",7.863404598,2.062219668,"Savanna","SV",25,23.58033371,24.97999954,20.88466644,1470,276,11,81.63548279,750,37,595,57,12.71266651,68.7766037,180.3590393,31.24799919,12.76399994,18.48399925,24.81066513,21.13599968,473,0.559351566,72.44578313,5.272562385,85.29608142,"Thermally Stable & Dry-Seasonal"
"53","Sapajus_libidinosus -18.5719296 -47.91472561 M","Sapajus_libidinosus_10","Sapajus_libidinosus",-18.5719296,-47.91472561,"M",8.706362413,2.16405407,"Savanna","SV",25,22.30699921,23.70266724,19.78666687,1441,295,5,89.80683136,770,18,667,37,10.93133354,68.68141174,171.2718506,28.84399986,12.92800045,15.91599941,23.60400009,19.94666672,675,0.667583331,69,5.105380254,91.15976723,"Thermally Stable & Dry-Seasonal"
"54","Sapajus_libidinosus -18.5958 -46.8248 M","Sapajus_libidinosus_11","Sapajus_libidinosus",-18.5958,-46.8248,"M",9.40260408,2.240986681,"Savanna","SV",25,19.94849968,21.22333336,17.71199989,1617,331,10,85.48416901,854,33,712,53,10.70166683,70.03709412,152.5575714,26.32799911,11.04800034,15.27999878,20.88533401,17.82933426,1109,0.76749219,69.2570765,4.912328012,94.26455474,"Thermally Stable & Dry-Seasonal"
"55","Sapajus_libidinosus -18.65664968 -48.28687774 F","Sapajus_libidinosus_12","Sapajus_libidinosus",-18.65664968,-48.28687774,"F",8.357825556,2.12311717,"Savanna","SV",25,21.80833435,22.92933273,19.45866585,1543,321,10,85.82582855,814,33,389,47,11.65266705,69.67630768,152.7482147,29.04400063,12.31999969,16.72400093,22.84666634,19.87733269,846,0.630236108,70.3258012,5.077460013,87.27349559,"Thermally Stable & Dry-Seasonal"
