PCA;ID;Photo;Locality;Species;Biome;Sex;Lat;Long;Ives;Env;PCH
94;91;1593_10642;GO - Goiânia;Sapajus_libidinosus;Savanna;F;-16.67;-49.38;Sapajus_libidinosus_18;SV;25
95;92;1595_7907;"GO - Jataí; Faz. Santa Adéllia";Sapajus_libidinosus;Savanna;M;-18.12;-51.56;Sapajus_libidinosus_19;SV;25
96;93;1596_7905;"GO - Jataí; Faz. Santa Adéllia";Sapajus_libidinosus;Savanna;M;-18.12;-51.56;Sapajus_libidinosus_20;SV;25
97;94;1597_1430;GO - Ponte Ipê Arcado (Sobre Parnaraiba);Sapajus_libidinosus;Savanna;F;-18.42;-49.19;Sapajus_libidinosus_21;AM;15
98;95;1599_21325;"PA - Cachoeira do Espelho; Rio Xingu";Sapajus_apella;Forest;M;-3.8;-52.53;Sapajus_apella_13;AM;15
99;96;1600_10546;PA - Bravo, Rio Amazonas;Sapajus_apella;Forest;M;-1.32;-51.44;Sapajus_apella_14;AM;15
100;97;1602_19595;PA - Fordlândia;Sapajus_apella;Forest;F;-3.83;-55.49;Sapajus_apella_15;AM;15
101;98;1604_19591;PA - Fordlândia;Sapajus_apella;Forest;M;-3.83;-55.49;Sapajus_apella_16;AM;15
102;99;1608_19604;"PA - Urucutituba; Rio Tapajós";Sapajus_apella;Forest;M;-3.14;-58.16;Sapajus_apella_17;AM;15
103;100;1610_19608;"PA - Urucutituba; Rio Tapajós";Sapajus_apella;Forest;F;-3.14;-58.16;Sapajus_apella_18;AM;15
104;101;1613_5753;"PA - Caxiricatuba; Rio Tapajós";Sapajus_apella;Forest;M;-2.19;-54.91;Sapajus_apella_19;AM;15
105;102;1616_5118;"PA - Caxiricatuba; Rio Tapajós";Sapajus_apella;Forest;F;-2.19;-54.91;Sapajus_apella_20;AM;15
106;103;1618_5123;"PA - Aruã; Rio Arapiuns";Sapajus_apella;Forest;F;-2.65;-55.72;Sapajus_apella_21;AM;15
107;104;1620_5674;"PA - Aruã; Rio Arapiuns";Sapajus_apella;Forest;M;-2.65;-55.72;Sapajus_apella_22;AM;15
108;105;1625_4291;PA - Boim;Sapajus_apella;Forest;M;-2.81;-55.19;Sapajus_apella_23;AM;15
109;106;1627_25452;PA - Boca do Bacajá;Sapajus_apella;Forest;M;-2.63;-55.15;Sapajus_apella_24;AM;15
110;107;1629_19635;"SC - São Francisco do Sul; Figueira do Pontal";Sapajus_nigritus;Forest;F;-26.17;-48.67;Sapajus_nigritus_15;AF;19
111;108;1633_19639;"SC - São Francisco do Sul; Figueira do Pontal";Sapajus_nigritus;Forest;M;-26.17;-48.67;Sapajus_nigritus_16;AF;19
