TPS,Espécime,Foto,Tombo,Museu,Localidade,Especie,Sexo,Local,Coordenadas,Obs,Massa (g),Data de coleta
93,90,1592,2365,Museu de Zoologia da USP (MUZUSP),GO - Faz. Esperança; Rio Araguaia,Sapajus_libidinosus,M,17,"-14.294992530079817, -50.96342132561898",,,
94,91,1593,10642,Museu de Zoologia da USP (MUZUSP),GO - Goiânia ,Sapajus_libidinosus,F,18,"-16.669324916470234, -49.3766067776329",Possível meanspec,,
95,92,1595,7907,Museu de Zoologia da USP (MUZUSP),GO - Jataí; Faz. Santa Adéllia,Sapajus_libidinosus,M,19,"-18.12196540080869, -51.55654415789583",,,
96,93,1596,7905,Museu de Zoologia da USP (MUZUSP),GO - Jataí; Faz. Santa Adéllia,Sapajus_libidinosus,M,19,"-18.12196540080869, -51.55654415789583",,,
97,94,1597,1430,Museu de Zoologia da USP (MUZUSP),GO - Ponte Ipê Arcado (Sobre Parnaraiba),Sapajus_libidinosus,F,20,"-18.41683593479292, -49.19448855719794",,,
98,95,1599,21325,Museu de Zoologia da USP (MUZUSP),PA - Cachoeira do Espelho; Rio Xingu,Sapajus_apella,M,55,"-3.801150157314214, -52.53308377252259",Quebrado,,
99,96,1600,10546,Museu de Zoologia da USP (MUZUSP),"PA - Bravo, Rio Amazonas",Sapajus_apella,M,54,"-1.3239684617888423, -51.43698749922276",,,
100,97,1602,19595,Museu de Zoologia da USP (MUZUSP),PA - Fordlândia,Sapajus_apella,F,57,"-3.8283424778097017, -55.49386438098501",,,
101,98,1604,19591,Museu de Zoologia da USP (MUZUSP),PA - Fordlândia,Sapajus_apella,M,57,"-3.8283424778097017, -55.49386438098501",,,
102,99,1608,19604,Museu de Zoologia da USP (MUZUSP),PA - Urucutituba; Rio Tapajós,Sapajus_apella,M,61,"-3.1385139917716494, -58.15840453610004",,,
103,100,1610,19608,Museu de Zoologia da USP (MUZUSP),PA - Urucutituba; Rio Tapajós,Sapajus_apella,F,61,"-3.1385139917716494, -58.15840453610004",,,
104,101,1613,5753,Museu de Zoologia da USP (MUZUSP),PA - Caxiricatuba; Rio Tapajós ,Sapajus_apella,M,56,"-2.1891913302936814, -54.91178961845232",,,
105,102,1616,5118,Museu de Zoologia da USP (MUZUSP),PA - Caxiricatuba; Rio Tapajós ,Sapajus_apella,F,56,"-2.1891913302936814, -54.91178961845232",Tem algo cobrindo o M2,,
106,103,1618,5123,Museu de Zoologia da USP (MUZUSP),PA - Aruã; Rio Arapiuns ,Sapajus_apella,F,5,"-2.652293397084577, -55.7241032941968",,,
107,104,1620,5674,Museu de Zoologia da USP (MUZUSP),PA - Aruã; Rio Arapiuns ,Sapajus_apella,M,5,"-2.652293397084577, -55.7241032941968",,,
108,105,1625,4291,Museu de Zoologia da USP (MUZUSP),PA - Boim ,Sapajus_apella,M,53,"-2.8134408482082747, -55.19236423111814",,,
109,106,1627,25452,Museu de Zoologia da USP (MUZUSP),PA - Boca do Bacajá,Sapajus_apella,M,52,"-2.6292498305715157, -55.15298626433358",,,
110,107,1629,19635,Museu de Zoologia da USP (MUZUSP),SC - São Francisco do Sul; Figueira do Pontal ,Sapajus_nigritus,F,64,"-26.167958494850748, -48.66507270681523",,,
111,108,1633,19639,Museu de Zoologia da USP (MUZUSP),SC - São Francisco do Sul; Figueira do Pontal ,Sapajus_nigritus,M,64,"-26.167958494850748, -48.66507270681523",,,
