id;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
44;0.682;0.775;-0.216;-0.324;1.034;-0.088;0.748;0.640;0.408;0.601;0.555;-0.180;0.217;-0.907;1.026;0.157;-0.984;-0.165;-0.753;-0.815;-0.926;-0.416
45;-0.032;0.000;0.074;0.075;0.166;0.183;-0.103;-0.219;0.352;0.008;-0.085;-2.085;-1.268;-0.967;1.785;-1.676;-0.975;-1.435;-0.772;-2.705;-2.564;-2.342
46;1.521;-0.909;1.585;-1.360;0.846;1.778;-1.474;1.161;1.699;1.366;1.623;0.232;1.428;-0.846;1.518;1.302;-0.938;-2.057;2.244;-1.263;0.220;-0.691
47;-1.669;-1.680;-2.723;2.016;-1.458;-0.839;0.032;-0.426;-1.698;-0.725;-1.721;0.433;0.044;1.466;-1.197;-0.016;1.350;1.461;-0.030;1.225;0.548;2.120
48;-0.906;-1.227;-2.331;2.011;-0.679;-0.610;0.262;0.448;-1.245;0.077;-1.227;0.071;-0.287;1.071;-0.958;-0.286;0.949;1.179;-0.165;2.157;-0.107;2.264
49;-2.888;-1.541;-2.129;1.418;-3.143;-1.522;-0.256;-2.521;-2.394;-2.647;-2.480;2.308;1.068;2.348;-1.281;1.287;2.256;2.821;0.275;1.611;0.711;2.441
50;-1.159;0.568;-0.543;1.224;-0.887;-1.189;0.785;-0.573;-1.234;-0.860;-1.256;-1.013;-0.677;-0.389;0.296;-0.790;-0.321;0.653;-0.527;0.023;-1.254;0.494
51;-1.099;0.740;-0.905;1.293;-0.178;-1.177;1.215;-0.427;-1.231;-0.541;-1.212;-0.721;-0.143;-0.481;0.642;-0.423;-0.573;0.430;-0.678;1.121;0.384;0.642
52;-2.486;-0.449;-0.846;0.712;-2.517;-1.427;0.030;-2.973;-1.781;-2.572;-2.013;-0.608;-0.907;0.493;-0.723;-0.785;0.473;-0.303;-0.325;0.450;0.548;-0.485
53;-0.932;-0.115;-0.781;0.720;-0.629;-0.621;0.306;-0.881;-0.938;-0.635;-0.892;-0.824;-0.980;0.249;-0.437;-0.861;0.192;-0.436;-0.420;0.450;0.548;-0.485
54;-0.711;-0.187;-0.771;0.693;-0.439;-0.450;0.232;-0.596;-0.627;-0.376;-0.721;-0.867;-1.037;0.188;-0.423;-0.907;0.164;-0.441;-0.429;0.450;0.548;-0.485
55;-0.158;0.547;-0.331;0.618;0.246;-0.414;0.621;0.104;-0.441;0.202;-0.351;-0.972;-0.648;-0.542;0.660;-0.566;-0.620;-0.070;-0.693;0.746;-0.107;-0.391
56;-0.214;-0.470;-0.702;0.504;-0.116;0.005;-0.079;-0.042;-0.398;0.132;-0.303;-0.891;-1.383;0.280;-0.890;-1.207;0.323;-0.495;-0.376;1.283;0.711;-1.215
57;-0.087;-0.596;-0.544;0.415;-0.148;0.173;-0.288;0.106;-0.301;0.224;-0.198;-0.845;-1.499;0.645;-1.278;-1.365;0.575;-0.521;-0.291;1.678;0.548;-0.871
58;0.142;-1.210;-0.549;0.237;-0.272;0.604;-0.852;-0.131;-0.071;0.434;0.053;-0.581;-1.499;1.192;-2.036;-1.548;1.322;-0.649;-0.039;1.678;0.711;-0.117
59;-1.369;0.841;-0.106;0.596;-1.011;-1.214;0.734;-1.514;-1.238;-1.434;-1.220;-0.324;0.664;-0.663;1.148;0.447;-0.732;0.903;-0.731;1.074;-0.435;-0.301
60;-0.039;-1.696;-0.765;0.188;-0.831;0.604;-1.202;-0.385;0.144;0.122;-0.047;-0.232;-1.643;2.044;-2.523;-1.655;1.929;-0.500;0.307;1.236;0.711;-0.551
61;-0.289;0.041;0.250;0.247;-0.098;0.090;-0.163;-0.279;0.060;-0.348;-0.349;-1.823;-2.292;-0.329;-1.136;-2.297;-0.331;-1.037;-0.398;-2.673;-1.745;-2.378
