id;sp;sp_ives;lat;long;biome;fac;pch;CS;LogCS;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
34;Sapajus_libidinosus;Sapajus_libidinosus_11;-19.4232;-48.3035;Savanna;SV;25;9.1865;2.2173;21.7627;12.0067;68.4375;166.9176;29.284;11.74;17.544;23.03;19.5773;23.06;19.2373;1572;284;18;77.8445;786;57;699;74;0.617;72;95.4975
35;Sapajus_libidinosus;Sapajus_libidinosus_10;-18.6566;-48.2869;Savanna;SV;25;9.4244;2.2368;21.8083;11.6527;69.6763;152.7482;29.044;12.32;16.724;22.8467;19.8773;22.9293;19.4587;1543;321;10;85.8258;814;33;389;47;0.602;71;87.248
36;Sapajus_libidinosus;Sapajus_libidinosus_9;-18.5958;-46.8248;Savanna;SV;25;9.4026;2.241;19.9485;10.7017;70.0371;152.5576;26.328;11.048;15.28;20.8853;17.8293;21.2233;17.712;1617;331;10;85.4842;854;33;712;53;0.768;69;93.9563
37;Sapajus_libidinosus;Sapajus_libidinosus_8;-18.5719;-47.9147;Savanna;SV;25;8.7064;2.1641;22.307;10.9313;68.6814;171.2719;28.844;12.928;15.916;23.604;19.9467;23.7027;19.7867;1441;295;5;89.8068;770;18;667;37;0.704;69;95.522
38;Sapajus_libidinosus;Sapajus_libidinosus_7;-18.4168;-49.1945;Savanna;SV;25;7.8634;2.0622;23.5803;12.7127;68.7766;180.359;31.248;12.764;18.484;24.8107;21.136;24.98;20.8847;1470;276;11;81.6355;750;37;595;57;0.532;73;86.0968
39;Sapajus_libidinosus;Sapajus_libidinosus_6;-18.122;-51.5565;Savanna;SV;25;9.3091;2.2297;22.5478;12.0663;69.7476;146.2909;29.716;12.416;17.3;23.5293;20.646;23.6953;20.3453;1602;290;17;73.9425;775;61;638;86;0.434;71;97.0595
40;Sapajus_libidinosus;Sapajus_libidinosus_5;-17.5013;-44.5608;Savanna;SV;25;8.7977;2.1745;22.5843;12.986;68.9132;184.0065;30.532;11.688;18.844;23.8553;19.9593;24.0933;19.9593;988;205;3;93.0576;574;14;429;14;0.647;69;55.4402
41;Sapajus_libidinosus;Sapajus_libidinosus_4;-16.6693;-49.3766;Savanna;SV;25;7.9904;2.0782;22.9032;10.949;68.5512;116.0672;30.08;14.108;15.972;23.3053;21.4913;24.024;21.1633;1660;293;10;78.6754;818;38;454;62;0.747;67;90.3012
42;Sapajus_libidinosus;Sapajus_libidinosus_3;-16.3553;-50.0211;Savanna;SV;25;10.0057;2.3015;22.6787;10.8987;67.3422;111.7825;29.968;13.784;16.184;23.0287;21.336;23.7793;21.026;1712;292;10;77.9545;831;40;473;62;0.649;70;84.9877
43;Sapajus_libidinosus;Sapajus_libidinosus_2;-14.6672;-39.4301;Savanna;SV;25;8.7935;2.174;23.4162;6.7057;62.1125;141.6093;28.568;17.772;10.796;24.814;22.402;25.0093;21.526;1387;145;87;16.428;392;282;384;333;1.024;80;109.4287
44;Sapajus_libidinosus;Sapajus_libidinosus;-14.295;-50.9634;Savanna;SV;25;7.6964;2.0398;25.6075;12.2017;67.5618;121.2664;33.5;15.44;18.06;26.1127;23.9127;26.6947;23.8547;1542;281;4;84.7424;764;16;424;36;0.608;71;77.1312
45;Sapajus_libidinosus;Sapajus_libidinosus_13;-7.9473;-39.296;Savanna;SV;25;8.67;2.1599;24.126;10.7233;69.868;150.2806;31.764;16.416;15.348;24.7927;23.7393;25.702;22.0233;669;178;2;100.1693;404;17;185;30;0.245;61;29.2887
46;Sapajus_libidinosus;Sapajus_libidinosus_12;-2.4777;-43.3053;Savanna;SV;25;9.4989;2.2512;27.3497;8.9873;81.8817;45.7566;33.124;22.148;10.976;26.9133;27.9447;27.976;26.9133;1731;365;6;94.7384;989;21;68;989;0.522;78;70.3047
47;Sapajus_nigritus;Sapajus_nigritus_7;-26.1306;-48.7457;Forest;AF;19;9.1973;2.2142;20.7275;7.5147;47.6324;291.6759;28.5176;12.7412;15.7765;24.4735;17.3382;24.4735;17.3382;1823;269;82;39.6103;730;266;730;266;1;80;140.127
48;Sapajus_nigritus;Sapajus_nigritus_6;-24.5105;-47.7003;Forest;AF;19;9.6491;2.2669;22.3112;8.3797;50.7489;291.3087;30.076;13.564;16.512;25.8173;18.7527;25.8173;18.7527;1657;246;69;44.4546;677;223;677;223;1.179;76;143.7088
49;Sapajus_nigritus;Sapajus_nigritus_5;-23.9759;-46.6185;Forest;AF;19;10.4925;2.342;18.1947;7.78;52.3553;248.0897;25.148;10.288;14.86;21.254;15.1647;21.254;15.1647;2682;340;111;37.9005;986;363;986;363;1.074;81;148.1051
50;Sapajus_nigritus;Sapajus_nigritus_4;-22.1219;-48.8236;Forest;AF;19;11.5849;2.4497;21.7847;11.808;64.9648;233.9955;29.66;11.484;18.176;24.248;18.7873;24.248;18.67;1160;219;21;69.9201;578;87;578;108;0.769;69;99.7337
