Bioma,Specie,Sesso,analisar,local,ordemTPS,long,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AET,NPP,CHMmais2
AF,Sapajus_nigritus,F,y,66,147,-47.783,-20.333,1.350248018,2.06069784,1.826074803,3.224274014,2.46686762,2.089905111,2.230448921,2.374748346,2.301029996,2.376576957,2.29666519,3.172894698,2.477121255,0.954242509,1.903089987,2.893206753,1.643452676,2.861534411,1.851258349,1.92954509,-0.095825639,0.301029996
AF,Sapajus_nigritus,M,y,64,148,-49.933,-21.45,1.342422681,2.103803721,1.812913357,3.379305518,2.481442629,2.033423755,2.290034611,2.389166084,2.271841607,2.389166084,2.267171728,3.084933575,2.336459734,1.278753601,1.812913357,2.769377326,1.944482672,2.769377326,2.068185862,1.950593634,-0.076755981,0.301029996
AF,Sapajus_nigritus,F,y,61,149,-52.617,-22.283,1.361727836,2.096910013,1.806179974,3.386142109,2.499687083,2.089905111,2.285557309,2.408239965,2.322219295,2.408239965,2.290034611,3.077004327,2.201397124,1.491361694,1.633468456,2.658964843,2.146128036,2.658964843,2.252853031,1.937338327,-0.164943889,1.079181246
AF,Sapajus_nigritus,F,y,63,150,-49.733,-21.667,1.33243846,2.103803721,1.806179974,3.388456453,2.477121255,2.017033339,2.292256071,2.383815366,2.260071388,2.383815366,2.255272505,3.10002573,2.320146286,1.397940009,1.785329835,2.770115295,2.029383778,2.770115295,2.149219113,1.947568511,-0.076755981,0.301029996
AF,Sapajus_nigritus,F,y,65,151,-47.417,-20.533,1.294466226,1.949390007,1.806179974,3.112269768,2.414973348,2.086359831,2.139879086,2.311753861,2.264817823,2.315970345,2.245512668,3.193958978,2.450249108,1.204119983,1.86923172,2.892094603,1.73239376,2.620136055,1.929418926,1.884725703,-0.095825639,0.301029996
AF,Sapajus_nigritus,M,y,55,152,-46.4,-23.533,1.250420002,1.982271233,1.763427994,3.353531559,2.404833717,1.959041392,2.212187604,2.311753861,2.170261715,2.31386722,2.170261715,3.154423973,2.367355921,1.544068044,1.770852012,2.810904281,2.096910013,2.802773725,2.096910013,1.814432721,0.031004282,0.301029996
AF,Sapajus_nigritus,M,y,64,153,-49.933,-21.45,1.342422681,2.103803721,1.812913357,3.379305518,2.481442629,2.033423755,2.290034611,2.389166084,2.271841607,2.389166084,2.267171728,3.084933575,2.336459734,1.278753601,1.812913357,2.769377326,1.944482672,2.769377326,2.068185862,1.950593634,-0.076755981,0.301029996
AF,Sapajus_nigritus,F,y,66,154,-47.783,-20.333,1.350248018,2.06069784,1.826074803,3.224274014,2.46686762,2.089905111,2.230448921,2.374748346,2.301029996,2.376576957,2.29666519,3.172894698,2.477121255,0.954242509,1.903089987,2.893206753,1.643452676,2.861534411,1.851258349,1.92954509,-0.095825639,0.301029996
AF,Sapajus_nigritus,M,y,66,155,-47.783,-20.333,1.350248018,2.06069784,1.826074803,3.224274014,2.46686762,2.089905111,2.230448921,2.374748346,2.301029996,2.376576957,2.29666519,3.172894698,2.477121255,0.954242509,1.903089987,2.893206753,1.643452676,2.861534411,1.851258349,1.92954509,-0.095825639,0.301029996
AF,Sapajus_nigritus,M,y,56,156,-46.683,-23.45,1.243038049,2.008600172,1.785329835,3.341434525,2.403120521,1.934498451,2.222716471,2.303196057,2.164352856,2.305351369,2.164352856,3.149834697,2.374748346,1.544068044,1.77815125,2.819543936,2.089905111,2.786751422,2.089905111,1.842490674,0.031004282,0.301029996
AF,Sapajus_nigritus,F,y,53,157,-45.883,-23.733,1.356025857,1.880813592,1.716003344,3.357934847,2.46686762,2.173186268,2.158362492,2.408239965,2.294466226,2.408239965,2.294466226,3.413634997,2.523746467,1.982271233,1.579783597,2.980003372,2.50242712,2.980003372,2.50242712,1.971196964,0.039414131,1.301029996
AF,Sapajus_nigritus,M,y,50,158,-46.783,-24.183,1.359835482,1.892094603,1.707570176,3.384174139,2.478566496,2.176091259,2.178976947,2.414973348,2.29666519,2.414973348,2.29666519,3.330413773,2.463892989,1.919078092,1.612783857,2.929418926,2.42975228,2.929418926,2.42975228,1.89610439,0.0517312,0.301029996
AF,Sapajus_nigritus,F,y,50,159,-46.783,-24.183,1.359835482,1.892094603,1.707570176,3.384174139,2.478566496,2.176091259,2.178976947,2.414973348,2.29666519,2.414973348,2.29666519,3.330413773,2.463892989,1.919078092,1.612783857,2.929418926,2.42975228,2.929418926,2.42975228,1.89610439,0.0517312,0.301029996
AM,Sapajus_apella,M,y,3,160,-63.467,-8.75,1.414973348,2.012837225,1.857332496,2.762678564,2.51851394,2.271841607,2.155336037,2.411619706,2.408239965,2.426511261,2.401400541,3.359835482,2.558708571,1.361727836,1.799340549,3.004321374,1.991226076,2.699837726,2.274157849,2.038624145,-0.069050976,1.491361694
