id;sp_ives;sp;lat;long;sex;CS;LogCS;biome;fac;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist;pch
Sapajus_apella -3.138513992 -58.15840454 M;Sapajus_apella_14;Sapajus_apella;-3.138513992;-58.15840454;M;8.801641994;2.174938294;Forest;AM;27.07600021;8.512666702;78.50117493;59.46232224;32.79199982;21.94799995;10.84399986;26.49799919;27.79933357;27.94400024;26.49799919;2124;315;72;49.9899559;865;237;268;865;0.851999998;83;95.22879791;15
Sapajus_apella -3.801150157 -52.53308377 M;Sapajus_apella_15;Sapajus_apella;-3.801150157;-52.53308377;M;9.907727945;2.293315053;Forest;AM;25.17499924;9.733333588;79.75526428;48.81466675;31.51600075;19.31200027;12.20400047;24.75200081;25.76600075;25.89266777;24.69199944;1944;360;31;71.6677475;942;125;162;900;0.81099999;85;92.40950012;15
Sapajus_apella -3.828342478 -55.49386438 F;Sapajus_apella_16;Sapajus_apella;-3.828342478;-55.49386438;F;8.133908236;2.096041526;Forest;AM;26.47316742;9.031666756;77.4585495;59.23439407;32.5359993;20.87599945;11.65999985;25.93533325;26.70999908;27.30200005;25.91133308;1943;306;50;55.88004684;833;192;244;797;0.819999993;86;88.81529999;15
Sapajus_apella -3.828342478 -55.49386438 M;Sapajus_apella_17;Sapajus_apella;-3.828342478;-55.49386438;M;10.17912756;2.320339306;Forest;AM;26.47316742;9.031666756;77.4585495;59.23439407;32.5359993;20.87599945;11.65999985;25.93533325;26.70999908;27.30200005;25.91133308;1943;306;50;55.88004684;833;192;244;797;0.819999993;86;88.81529999;15
Sapajus_apella -6.6611 -69.8671 F;Sapajus_apella_18;Sapajus_apella;-6.6611;-69.8671;F;9.262313848;2.225953893;Forest;AM;25.92466736;10.66800022;82.54410553;43.09645462;31.97599983;19.05200005;12.92399979;25.89733315;25.35733414;26.38599968;25.35733414;2499;338;64;47.44225693;983;238;608;238;0.908999979;87;130.719101;15
Sapajus_apella -7.276164354 -70.3003981 F;Sapajus_apella_19;Sapajus_apella;-7.276164354;-70.3003981;F;10.37564765;2.339461489;Forest;AM;25.22550011;10.41566658;81.49973297;48.75735474;31.09600067;18.31599998;12.78000069;25.3433342;24.50666809;25.6886673;24.50666809;2354;303;58;45.73307419;866;226;720;226;0.976000011;87;127.5351028;15
Sapajus_apella -7.276164354 -70.3003981 M;Sapajus_apella_20;Sapajus_apella;-7.276164354;-70.3003981;M;11.63283073;2.453831336;Forest;AM;25.22550011;10.41566658;81.49973297;48.75735474;31.09600067;18.31599998;12.78000069;25.3433342;24.50666809;25.6886673;24.50666809;2354;303;58;45.73307419;866;226;720;226;0.976000011;87;127.5351028;15
Sapajus_apella -8.7525 -63.4557 F;Sapajus_apella_21;Sapajus_apella;-8.7525;-63.4557;F;10.06173729;2.308103889;Forest;AM;25.53566742;10.70600033;72.79032135;42.88504028;32.63199997;17.92399979;14.70800018;25.54933357;25.02666664;26.00733376;24.95800018;2239;352;17;67.3259201;1015;88;488;177;0.852999985;83;96.73549652;15
Sapajus_apella -8.7525 -63.4557 M;Sapajus_apella_22;Sapajus_apella;-8.7525;-63.4557;M;10.67960727;2.36833606;Forest;AM;25.53566742;10.70600033;72.79032135;42.88504028;32.63199997;17.92399979;14.70800018;25.54933357;25.02666664;26.00733376;24.95800018;2239;352;17;67.3259201;1015;88;488;177;0.852999985;83;96.73549652;17
Sapajus_cay -12.00372893 -54.45375719 M;Sapajus_cay;Sapajus_cay;-12.00372893;-54.45375719;M;10.00357532;2.302942561;Savanna;SV;24.86566734;13.63733387;70.31003571;77.82092285;33.85599899;14.46000004;19.39599991;25.13266563;23.77799988;25.42533302;23.76000023;1788;318;1;85.27033997;911;13;699;39;0.802999973;79;91.61620331;17
Sapajus_cay -12.141167 -53.43570795 M;Sapajus_cay_2;Sapajus_cay;-12.141167;-53.43570795;M;8.547381404;2.145624967;Savanna;SV;24.95050049;14.38099957;68.23400879;91.06442261;34.86000061;13.7840004;21.07600021;25.27000046;23.71133423;25.61600113;23.62000084;1757;305;1;82.8169632;888;16;682;42;0.727999985;77;89.48549652;17
Sapajus_cay -12.28896786 -51.85754375 M;Sapajus_cay_3;Sapajus_cay;-12.28896786;-51.85754375;M;9.161152899;2.214972033;Savanna;SV;25.7191658;13.26099968;72.19621277;88.01745605;34.12799835;15.76000023;18.36799812;26.10200119;24.50333405;26.5126667;24.43400002;1687;312;2;79.01154327;823;20;425;51;0.634000003;76;81.48000336;17
Sapajus_cay -13.51650258 -53.09732769 M;Sapajus_cay_4;Sapajus_cay;-13.51650258;-53.09732769;M;10.55340558;2.356448612;Savanna;SV;24.63816643;14.5943327;70.16506195;122.2457352;33.77199936;12.97200012;20.79999924;25.25933266;22.88933372;25.58533287;22.85266685;1604;272;2;81.88564301;804;22;400;41;0.791999996;74;84.66079712;17
Sapajus_cay -13.54848064 -51.41271861 F;Sapajus_cay_5;Sapajus_cay;-13.54848064;-51.41271861;F;7.821693616;2.056899276;Savanna;SV;25.82299995;12.83333397;68.86312866;116.7054977;34.15200043;15.51599979;18.63600159;26.34133339;24.18799973;26.8706665;24.12999916;1541;286;2;84.49493408;785;15;400;31;0.713;73;78.85220337;17
Sapajus_cay -13.54848064 -51.41271861 M;Sapajus_cay_6;Sapajus_cay;-13.54848064;-51.41271861;M;9.534436066;2.254848115;Savanna;SV;25.82299995;12.83333397;68.86312866;116.7054977;34.15200043;15.51599979;18.63600159;26.34133339;24.18799973;26.8706665;24.12999916;1541;286;2;84.49493408;785;15;400;31;0.713;73;78.85220337;17
Sapajus_cay -13.5790702 -52.42609579 M;Sapajus_cay_7;Sapajus_cay;-13.5790702;-52.42609579;M;8.596070528;2.151305183;Savanna;SV;24.69083405;14.10633373;69.62651825;117.14785;33.72000122;13.46000004;20.26000214;25.18400002;23.05200005;25.70266724;22.97800064;1531;275;1;85.20724487;790;13;362;33;0.694000006;74;85.25479889;17
Sapajus_cay -14.184 -56.6203 M;Sapajus_cay_8;Sapajus_cay;-14.184;-56.6203;M;8.993975817;2.196381727;Savanna;SV;23.9489994;13.6206665;76.52059937;77.31279755;32.09199905;14.29199982;17.79999924;24.38999939;23.30866623;24.86066628;23.24866676;1817;295;7;74.00042725;849;46;684;75;0.80400002;75;97.22869873;17
Sapajus_cay -15.30560445 -57.54874872 F;Sapajus_cay_9;Sapajus_cay;-15.30560445;-57.54874872;F;7.942930777;2.072282323;Savanna;SV;24.95066643;12.8113327;70.73395538;155.7677307;32.20399857;14.09200001;18.11199951;26.23133278;22.67266655;26.23133278;22.67266655;1453;244;17;69.83621979;671;71;671;71;0.736000001;77;76.91220093;17
Sapajus_cay -15.68364971 -56.06516544 F;Sapajus_cay_10;Sapajus_cay;-15.68364971;-56.06516544;F;8.33685194;2.11965416;Savanna;SV;25.26883316;12.07766628;66.25888062;150.8483582;33.29599762;15.06799984;18.22799683;26.45933342;23.12000084;26.47000122;23.12000084;1417;215;16;67.38227844;626;55;594;55;0.708999991;73;65.55570221;17
Sapajus_cay -16.29101969 -57.97779757 F;Sapajus_cay_11;Sapajus_cay;-16.29101969;-57.97779757;F;8.879804109;2.183779497;Savanna;SV;26.13566589;12.58466625;66.44490814;187.6862183;34.12400055;15.18400002;18.94000053;27.40533257;23.43400002;27.84399986;23.43400002;1363;241;22;70.78385925;657;75;468;75;0.677999973;77;63.82180023;17
Sapajus_cay -17.23322493 -56.01116673 F;Sapajus_cay_12;Sapajus_cay;-17.23322493;-56.01116673;F;8.225270874;2.107211229;Savanna;SV;25.36849976;11.71766663;63.09317398;200.1418152;33.40400314;14.83199978;18.57200241;26.87466621;22.4980011;27.07733345;22.4980011;1355;229;21;67.73196411;632;69;477;69;0.620000005;74;58.67219925;17
Sapajus_cay -18.31716203 -54.74316009 F;Sapajus_cay_13;Sapajus_cay;-18.31716203;-54.74316009;F;7.89852449;2.066675969;Savanna;SV;24.1621666;12.32766724;64.17985535;199.5449066;32.23600006;13.02799988;19.20800018;25.60133362;21.35533333;25.92866707;21.32600021;1503;255;24;65.81768036;707;92;537;127;0.813000023;72;88.88430023;17
Sapajus_cay -19.03164905 -57.63112629 F;Sapajus_cay_14;Sapajus_cay;-19.03164905;-57.63112629;F;8.488898806;2.138757052;Savanna;SV;25.88583374;10.31700039;63.03152847;229.9044189;33.24399948;16.87599945;16.36800003;27.93066788;22.79000092;28.02666664;22.71333313;1045;181;21;62.0209198;468;74;455;105;0.513000011;73;22.75200081;17
Sapajus_cay -19.03164905 -57.63112629 M;Sapajus_cay_15;Sapajus_cay;-19.03164905;-57.63112629;M;8.538800352;2.141179581;Savanna;SV;25.88583374;10.31700039;63.03152847;229.9044189;33.24399948;16.87599945;16.36800003;27.93066788;22.79000092;28.02666664;22.71333313;1045;181;21;62.0209198;468;74;455;105;0.513000011;73;22.75200081;17
Sapajus_cay -20.2019463 -56.54840165 M;Sapajus_cay_16;Sapajus_cay;-20.2019463;-56.54840165;M;8.398705704;2.126407757;Savanna;SV;24.8125;11.73433399;62.5764389;257.9099731;33;14.24800014;18.7519989;27.30400085;21.32466698;27.30400085;21.32466698;1291;204;33;52.4221611;547;121;547;121;0.654999971;71;65.65899658;17
Sapajus_cay -20.2481071 -56.39949425 M;Sapajus_cay_17;Sapajus_cay;-20.2481071;-56.39949425;M;9.030732086;2.200633437;Savanna;SV;24.7215004;11.6716671;62.76438904;255.4868164;32.86400223;14.26799965;18.59600258;27.17733383;21.26000023;27.17733383;21.26000023;1318;207;32;52.26408005;558;122;558;122;0.654999971;71;82.36199951;17
Sapajus_cay -21.25853281 -51.91102927 F;Sapajus_cay_18;Sapajus_cay;-21.25853281;-51.91102927;F;7.833433152;2.058400875;Savanna;SV;23.24550056;10.81099987;61.49601746;252.716507;30.65200043;13.0720005;17.57999992;25.77200127;19.9173336;25.77200127;19.82933426;1094;177;23;57.28885651;486;90;486;131;0.832000017;69;85.07649994;17
Sapajus_cay -21.4349177 -55.65515673 F;Sapajus_cay_19;Sapajus_cay;-21.4349177;-55.65515673;F;8.28974303;2.115018971;Savanna;SV;22.65049934;11.48700047;62.40221786;244.7049103;30.68799973;12.27999973;18.40800095;25.02400017;19.46666718;25.14999962;19.42000008;1424;190;41;40.98710632;519;154;515;226;0.456999987;73;114.6192017;17
Sapajus_cay -21.4349177 -55.65515673 M;Sapajus_cay_20;Sapajus_cay;-21.4349177;-55.65515673;M;8.148193785;2.097796281;Savanna;SV;22.65049934;11.48700047;62.40221786;244.7049103;30.68799973;12.27999973;18.40800095;25.02400017;19.46666718;25.14999962;19.42000008;1424;190;41;40.98710632;519;154;515;226;0.456999987;73;114.6192017;17
Sapajus_cay -21.72539022 -52.25076149 F;Sapajus_cay_21;Sapajus_cay;-21.72539022;-52.25076149;F;8.443159102;2.13335654;Savanna;SV;23.2998333;11.29699993;62.78902054;250.9065399;31.03199959;13.03999996;17.99200058;25.86533356;20.04066658;25.86533356;19.88733292;1173;167;33;48.01736832;487;128;487;161;0.550999999;70;101.5737;17
Sapajus_libidinosus -14.29499253 -50.96342133 F;Sapajus_libidinosus;Sapajus_libidinosus;-14.29499253;-50.96342133;F;7.359081514;1.995935131;Savanna;SV;25.60750008;12.20166683;67.56182861;121.2664032;33.5;15.43999958;18.06000137;26.11266708;23.91266632;26.69466591;23.85466766;1542;281;4;84.74241638;764;16;424;36;0.60799998;71;77.1312027;25
Sapajus_libidinosus -14.29499253 -50.96342133 M;Sapajus_libidinosus_2;Sapajus_libidinosus;-14.29499253;-50.96342133;M;8.033746275;2.083650954;Savanna;SV;25.60750008;12.20166683;67.56182861;121.2664032;33.5;15.43999958;18.06000137;26.11266708;23.91266632;26.69466591;23.85466766;1542;281;4;84.74241638;764;16;424;36;0.60799998;71;77.1312027;25
Sapajus_libidinosus -14.66720196 -39.4301321 F;Sapajus_libidinosus_3;Sapajus_libidinosus;-14.66720196;-39.4301321;F;8.793527428;2.174015931;Savanna;SV;23.41616631;6.705667019;62.11250687;141.6093292;28.56800079;17.77199936;10.79600143;24.81399918;22.40200043;25.00933266;21.52600098;1387;145;87;16.42799187;392;282;384;333;1.024000049;80;109.4287033;25
Sapajus_libidinosus -16.35534286 -50.02114195 F;Sapajus_libidinosus_4;Sapajus_libidinosus;-16.35534286;-50.02114195;F;9.280464687;2.22791162;Savanna;SV;22.67866707;10.89866638;67.34223175;111.7825012;29.96800041;13.7840004;16.18400002;23.02866745;21.33600044;23.77933311;21.02599907;1712;292;10;77.95446777;831;40;473;62;0.648999989;70;84.98770142;25
Sapajus_libidinosus -16.35534286 -50.02114195 M;Sapajus_libidinosus_5;Sapajus_libidinosus;-16.35534286;-50.02114195;M;10.36826562;2.338286435;Savanna;SV;22.67866707;10.89866638;67.34223175;111.7825012;29.96800041;13.7840004;16.18400002;23.02866745;21.33600044;23.77933311;21.02599907;1712;292;10;77.95446777;831;40;473;62;0.648999989;70;84.98770142;25
Sapajus_libidinosus -16.66932492 -49.37660678 F;Sapajus_libidinosus_6;Sapajus_libidinosus;-16.66932492;-49.37660678;F;7.990388069;2.078239328;Savanna;SV;22.90316582;10.94900036;68.55121613;116.0672455;30.07999992;14.1079998;15.97200012;23.30533218;21.49133301;24.02400017;21.16333389;1660;293;10;78.67543793;818;38;454;62;0.746999979;67;90.30120087;25
Sapajus_libidinosus -17.50131153 -44.56084806 F;Sapajus_libidinosus_7;Sapajus_libidinosus;-17.50131153;-44.56084806;F;8.797682562;2.174488342;Savanna;SV;22.58433342;12.98600006;68.91318512;184.006485;30.53199959;11.68799973;18.84399986;23.85533333;19.95933342;24.0933342;19.95933342;988;205;3;93.05763245;574;14;429;14;0.647000015;69;55.44020081;25
Sapajus_libidinosus -18.1219654 -51.55654416 M;Sapajus_libidinosus_8;Sapajus_libidinosus;-18.1219654;-51.55654416;M;9.309085798;2.229683339;Savanna;SV;22.5478344;12.06633377;69.74759674;146.2909393;29.7159996;12.41600037;17.29999924;23.52933311;20.64599991;23.69533348;20.3453331;1602;290;17;73.94245148;775;61;638;86;0.433999985;71;97.05950165;25
Sapajus_libidinosus -18.41683593 -49.19448856 F;Sapajus_libidinosus_9;Sapajus_libidinosus;-18.41683593;-49.19448856;F;7.863404598;2.062219668;Savanna;SV;23.58033371;12.71266651;68.7766037;180.3590393;31.24799919;12.76399994;18.48399925;24.81066513;21.13599968;24.97999954;20.88466644;1470;276;11;81.63548279;750;37;595;57;0.532000005;73;86.09680176;25
Sapajus_libidinosus -18.5719296 -47.91472561 M;Sapajus_libidinosus_10;Sapajus_libidinosus;-18.5719296;-47.91472561;M;8.706362413;2.16405407;Savanna;SV;22.30699921;10.93133354;68.68141174;171.2718506;28.84399986;12.92800045;15.91599941;23.60400009;19.94666672;23.70266724;19.78666687;1441;295;5;89.80683136;770;18;667;37;0.703999996;69;95.52200317;25
Sapajus_libidinosus -18.5958 -46.8248 M;Sapajus_libidinosus_11;Sapajus_libidinosus;-18.5958;-46.8248;M;9.40260408;2.240986681;Savanna;SV;19.94849968;10.70166683;70.03709412;152.5575714;26.32799911;11.04800034;15.27999878;20.88533401;17.82933426;21.22333336;17.71199989;1617;331;10;85.48416901;854;33;712;53;0.768000007;69;93.95629883;25
Sapajus_libidinosus -18.65664968 -48.28687774 F;Sapajus_libidinosus_12;Sapajus_libidinosus;-18.65664968;-48.28687774;F;8.357825556;2.12311717;Savanna;SV;21.80833435;11.65266705;69.67630768;152.7482147;29.04400063;12.31999969;16.72400093;22.84666634;19.87733269;22.92933273;19.45866585;1543;321;10;85.82582855;814;33;389;47;0.601999998;71;87.2480011;25
Sapajus_libidinosus -18.65664968 -48.28687774 M;Sapajus_libidinosus_13;Sapajus_libidinosus;-18.65664968;-48.28687774;M;10.49100798;2.350443884;Savanna;SV;21.80833435;11.65266705;69.67630768;152.7482147;29.04400063;12.31999969;16.72400093;22.84666634;19.87733269;22.92933273;19.45866585;1543;321;10;85.82582855;814;33;389;47;0.601999998;71;87.2480011;25
Sapajus_libidinosus -19.4232302 -48.30346523 F;Sapajus_libidinosus_14;Sapajus_libidinosus;-19.4232302;-48.30346523;F;8.901773539;2.186250531;Savanna;SV;21.7626667;12.00666714;68.43745422;166.9176178;29.2840004;11.73999977;17.54400063;23.03000069;19.57733345;23.06000137;19.2373333;1572;284;18;77.84453583;786;57;699;74;0.616999984;72;95.49749756;25
Sapajus_libidinosus -19.4232302 -48.30346523 M;Sapajus_libidinosus_15;Sapajus_libidinosus;-19.4232302;-48.30346523;M;9.471166088;2.248252035;Savanna;SV;21.7626667;12.00666714;68.43745422;166.9176178;29.2840004;11.73999977;17.54400063;23.03000069;19.57733345;23.06000137;19.2373333;1572;284;18;77.84453583;786;57;699;74;0.616999984;72;95.49749756;25
Sapajus_libidinosus -2.477655896 -43.30527208 M;Sapajus_libidinosus_16;Sapajus_libidinosus;-2.477655896;-43.30527208;M;9.498940547;2.251180271;Savanna;SV;27.3496666;8.987333298;81.88168335;45.75656891;33.12400055;22.14800072;10.97599983;26.91333389;27.94466782;27.97599983;26.91333389;1731;365;6;94.73842621;989;21;68;989;0.522000015;78;135.6993162;25
Sapajus_libidinosus -7.9473 -39.296 F;Sapajus_libidinosus_17;Sapajus_libidinosus;-7.9473;-39.296;F;8.669986554;2.15986724;Savanna;SV;24.12599945;10.72333336;69.86795044;150.2805786;31.76399994;16.41600037;15.34799957;24.79266739;23.73933411;25.70199966;22.0233326;669;178;2;100.1693115;404;17;185;30;0.245000005;61;29.2887001;19
Sapajus_nigritus -19.79820319 -40.68281548 F;Sapajus_nigritus;Sapajus_nigritus;-19.79820319;-40.68281548;F;9.286139569;2.228376437;Forest;AF;22.25650024;10.50233269;63.06949615;197.2624207;30.1760006;13.52400017;16.65200043;23.7753334;19.71066666;24.62400055;19.71066666;1247;198;42;55.04610825;564;142;373;142;0.851000011;80;75.41369629;19
Sapajus_nigritus -19.79820319 -40.68281548 M;Sapajus_nigritus_2;Sapajus_nigritus;-19.79820319;-40.68281548;M;9.965674339;2.298212187;Forest;AF;22.25650024;10.50233269;63.06949615;197.2624207;30.1760006;13.52400017;16.65200043;23.7753334;19.71066666;24.62400055;19.71066666;1247;198;42;55.04610825;564;142;373;142;0.851000011;80;75.41369629;19
Sapajus_nigritus -19.84573935 -40.55203918 F;Sapajus_nigritus_3;Sapajus_nigritus;-19.84573935;-40.55203918;F;8.789662667;2.173576334;Forest;AF;19.03116608;9.865666389;62.5517807;196.6887665;26.39999962;10.62800026;15.77199936;20.55999947;17.07866669;21.3793335;16.5019989;1346;203;50;49.24126816;579;172;398;172;0.851000011;80;75.41369629;19
Sapajus_nigritus -19.84573935 -40.55203918 M;Sapajus_nigritus_4;Sapajus_nigritus;-19.84573935;-40.55203918;M;10.8479329;2.383974545;Forest;AF;19.03116608;9.865666389;62.5517807;196.6887665;26.39999962;10.62800026;15.77199936;20.55999947;17.07866669;21.3793335;16.5019989;1346;203;50;49.24126816;579;172;398;172;0.851000011;80;75.41369629;19
Sapajus_nigritus -21.82169193 -42.59318525 M;Sapajus_nigritus_5;Sapajus_nigritus;-21.82169193;-42.59318525;M;8.719921141;2.165610194;Forest;AF;21.90933228;12.13600063;62.08307648;239.009491;31.07600021;11.52799988;19.54800034;24.47200012;18.79599953;24.78199959;18.79599953;1294;256;18;76.95401001;650;60;536;60;0.980000019;79;103.4161987;19
Sapajus_nigritus -22.1218764 -48.82363954 M;Sapajus_nigritus_6;Sapajus_nigritus;-22.1218764;-48.82363954;M;11.58489709;2.449702275;Forest;AF;21.78466606;11.80799961;64.96479034;233.9955292;29.65999985;11.48400021;18.17599869;24.24799919;18.78733444;24.24799919;18.67000008;1160;219;21;69.92007446;578;87;578;108;0.768999994;69;99.73370361;19
Sapajus_nigritus -23.97585942 -46.6185314 F;Sapajus_nigritus_7;Sapajus_nigritus;-23.97585942;-46.6185314;F;9.120020096;2.210472008;Forest;AF;18.19466591;7.779999733;52.35531235;248.0896759;25.14800072;10.28800011;14.86000061;21.25399971;15.16466713;21.25399971;15.16466713;2682;340;111;37.90048599;986;363;986;363;1.074000001;81;148.1051025;19
Sapajus_nigritus -23.97585942 -46.6185314 M;Sapajus_nigritus_8;Sapajus_nigritus;-23.97585942;-46.6185314;M;11.86495387;2.473589002;Forest;AF;18.19466591;7.779999733;52.35531235;248.0896759;25.14800072;10.28800011;14.86000061;21.25399971;15.16466713;21.25399971;15.16466713;2682;340;111;37.90048599;986;363;986;363;1.074000001;81;148.1051025;19
Sapajus_nigritus -24.5105 -47.7003 F;Sapajus_nigritus_9;Sapajus_nigritus;-24.5105;-47.7003;F;9.64911246;2.266865938;Forest;AF;22.31116676;8.379666328;50.74894714;291.3086853;30.07600021;13.56400013;16.51200104;25.81733322;18.75266647;25.81733322;18.75266647;1657;246;69;44.45455933;677;223;677;223;1.17900002;76;143.7088013;19
Sapajus_nigritus -26.16795849 -48.66507271 F;Sapajus_nigritus_10;Sapajus_nigritus;-26.16795849;-48.66507271;F;8.302357347;2.116539492;Forest;AF;20.72745132;7.514705658;47.63236618;291.6759033;28.51764679;12.74117661;15.77647018;24.47352982;17.33823395;24.47352982;17.33823395;1823;269;82;39.61027145;730;266;730;266;1.011;80;152.603952;19
Sapajus_nigritus -26.16795849 -48.66507271 M;Sapajus_nigritus_11;Sapajus_nigritus;-26.16795849;-48.66507271;M;10.09219804;2.311762654;Forest;AF;20.72745132;7.514705658;47.63236618;291.6759033;28.51764679;12.74117661;15.77647018;24.47352982;17.33823395;24.47352982;17.33823395;1823;269;82;39.61027145;730;266;730;266;1.011;80;152.603952;19
Sapajus_robustus -17.50178139 -39.33456198 F;Sapajus_robustus;Sapajus_robustus;-17.50178139;-39.33456198;F;8.429494703;2.130603511;Forest;AF;24.48583412;8.413000107;64.91512299;162.085144;30.88800049;17.9279995;12.96000099;24.92666626;22.41799927;26.41600037;22.41799927;1358;162;73;22.57325935;429;263;333;263;1.087000012;81;84.57080078;18
Sapajus_robustus -17.50178139 -39.33456198 M;Sapajus_robustus_2;Sapajus_robustus;-17.50178139;-39.33456198;M;8.517065592;2.142071867;Forest;AF;24.48583412;8.413000107;64.91512299;162.085144;30.88800049;17.9279995;12.96000099;24.92666626;22.41799927;26.41600037;22.41799927;1358;162;73;22.57325935;429;263;333;263;1.087000012;81;84.57080078;18
Sapajus_robustus -17.97675 -39.9635547 F;Sapajus_robustus_3;Sapajus_robustus;-17.97675;-39.9635547;F;8.550178489;2.145952159;Forest;AF;24.01099968;9.584667206;64.95436859;175.0557098;31.13599968;16.37999916;14.75600052;25.29199982;21.69933319;26.06399918;21.69933319;1237;162;55;37.95938873;465;183;357;183;1.087000012;80;65.82479858;18
